"DEQ6IAFO.Code.or.Value","DEQ6IAFO.Value.Description","DEQ6IAFO.Count","DEQ6IAFO.Cumulative","DEQ6IAFO.Skip.to.Item"
"1","Present",0,0,NA
".","Missing",2992,2992,NA
