"WTDR2D.Code.or.Value","WTDR2D.Value.Description","WTDR2D.Count","WTDR2D.Cumulative","WTDR2D.Skip.to.Item"
"2489.4254367 to 282865.09747","Range of Values",5400,5400,NA
".","Missing",506,5906,NA
