"URDHPMLC.Code.or.Value","URDHPMLC.Value.Description","URDHPMLC.Count","URDHPMLC.Cumulative","URDHPMLC.Skip.to.Item"
"0","At or above the detection limit",2464,2464,NA
"1","Below lower detection limit",2,2466,NA
".","Missing",85,2551,NA
