"MGATHAND.Code.or.Value","MGATHAND.Value.Description","MGATHAND.Count","MGATHAND.Cumulative","MGATHAND.Skip.to.Item"
"1","Right",3900,3900,NA
"2","Left",3907,7807,NA
".","Missing",484,8291,NA
