"BIXS128K.Code.or.Value","BIXS128K.Value.Description","BIXS128K.Count","BIXS128K.Cumulative","BIXS128K.Skip.to.Item"
"157.12 to 876.63","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
