"MCQ051.Code.or.Value","MCQ051.Value.Description","MCQ051.Count","MCQ051.Cumulative","MCQ051.Skip.to.Item"
"1","Yes",629,629,NA
"2","No",244,873,NA
"7","Refused",0,873,NA
"9","Don't know",0,873,NA
".","Missing",9236,10109,NA
