"DX2STPF.Code.or.Value","DX2STPF.Value.Description","DX2STPF.Count","DX2STPF.Cumulative","DX2STPF.Skip.to.Item"
"11.2 to 53.6","Range of Values",414,414,NA
".","Missing",71,485,NA
