"HSQ571.Code.or.Value","HSQ571.Value.Description","HSQ571.Count","HSQ571.Cumulative","HSQ571.Skip.to.Item"
"1","Yes",247,247,""
"2","No",5534,5781,"HSQ590"
"7","Refused",0,5781,"HSQ590"
"9","Don't know",2,5783,"HSQ590"
".","Missing",3524,9307,""
