"DXXBICDE.Code.or.Value","DXXBICDE.Value.Description","DXXBICDE.Count","DXXBICDE.Cumulative","DXXBICDE.Skip.to.Item"
"-0.039 to 0.405","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
