"RHD152.Code.or.Value","RHD152.Value.Description","RHD152.Count","RHD152.Cumulative","RHD152.Skip.to.Item"
"1 to 10","Range of Values",328,328,NA
"77","Refused",0,328,NA
"99","Don't know",2,330,NA
".","Missing",3267,3597,NA
