"OSQ120f.Code.or.Value","OSQ120f.Value.Description","OSQ120f.Count","OSQ120f.Cumulative","OSQ120f.Skip.to.Item"
"1","Yes",11,11,""
"2","No",7,18,"OSQ060"
"7","Refused",0,18,"OSQ060"
"9","Don't know",0,18,"OSQ060"
".","Missing",4961,4979,""
