"AUXRR239.Code.or.Value","AUXRR239.Value.Description","AUXRR239.Count","AUXRR239.Cumulative","AUXRR239.Skip.to.Item"
"-34 to 48","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
