"DXDTRBMC.Code.or.Value","DXDTRBMC.Value.Description","DXDTRBMC.Count","DXDTRBMC.Cumulative","DXDTRBMC.Skip.to.Item"
"152.18 to 1257.96","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
