"DXXANTV.Code.or.Value","DXXANTV.Value.Description","DXXANTV.Count","DXXANTV.Cumulative","DXXANTV.Skip.to.Item"
"0","Valid",5090,5090,NA
"1","Invalid",25,5115,NA
".","Missing",665,5780,NA
