"KIQ182.Code.or.Value","KIQ182.Value.Description","KIQ182.Count","KIQ182.Cumulative","KIQ182.Skip.to.Item"
"1","Yes",28,28,NA
"2","No",14,42,NA
"7","Refused",0,42,NA
"9","Don't know",6,48,NA
".","Missing",2236,2284,NA
