"DXXANTEH.Code.or.Value","DXXANTEH.Value.Description","DXXANTEH.Count","DXXANTEH.Cumulative","DXXANTEH.Skip.to.Item"
"12.6 to 67.2","Range of Values",3276,3276,NA
".","Missing",432,3708,NA
