"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",5418,5418,NA
"2","Spanish",459,5877,NA
"3","English and Spanish",25,5902,NA
"4","Other",1,5903,NA
".","Missing",0,5903,NA
