"RHQ291.Code.or.Value","RHQ291.Value.Description","RHQ291.Count","RHQ291.Cumulative","RHQ291.Skip.to.Item"
"20 to 59","Range of Values",522,522,NA
"19","19 years or under",2,524,NA
"60","60 years or older",26,550,NA
"777","Refused",0,550,NA
"999","Don't know",7,557,NA
".","Missing",2729,3286,NA
