"WBXA030.Code.or.Value","WBXA030.Value.Description","WBXA030.Count","WBXA030.Cumulative","WBXA030.Skip.to.Item"
"-5.8039 to 0.9999","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
