"URXMU3.Code.or.Value","URXMU3.Value.Description","URXMU3.Count","URXMU3.Cumulative","URXMU3.Skip.to.Item"
"0.07 to 678","Range of Values",2714,2714,NA
".","Missing",117,2831,NA
