"URDUCOLC.Code.or.Value","URDUCOLC.Value.Description","URDUCOLC.Count","URDUCOLC.Cumulative","URDUCOLC.Skip.to.Item"
"0","At or above the detection limit",2525,2525,NA
"1","Below lower detection limit",3,2528,NA
".","Missing",77,2605,NA
