"RHD270.Code.or.Value","RHD270.Value.Description","RHD270.Count","RHD270.Cumulative","RHD270.Skip.to.Item"
"0 to 3","Range of Values",254,254,NA
"77","Refused",0,254,NA
"99","Don't know",1,255,NA
".","Missing",3610,3865,NA
