"MCQ160c.Code.or.Value","MCQ160c.Value.Description","MCQ160c.Count","MCQ160c.Cumulative","MCQ160c.Skip.to.Item"
"1","Yes",265,265,NA
"2","No",5288,5553,NA
"7","Refused",0,5553,NA
"9","Don't know",16,5569,NA
".","Missing",3328,8897,NA
