"BIDFFM.Code.or.Value","BIDFFM.Value.Description","BIDFFM.Count","BIDFFM.Cumulative","BIDFFM.Skip.to.Item"
"13.8 to 105.1","Range of Values",4504,4504,NA
".","Missing",1445,5949,NA
