"DR1IM201.Code.or.Value","DR1IM201.Value.Description","DR1IM201.Count","DR1IM201.Cumulative","DR1IM201.Skip.to.Item"
"0 to 2.745","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
