"KID221.Code.or.Value","KID221.Value.Description","KID221.Count","KID221.Cumulative","KID221.Skip.to.Item"
"8 to 85","Range of Values",95,95,NA
"777","Refused",0,95,NA
"999","Don't know",0,95,NA
".","Missing",1881,1976,NA
