"PAQ724af.Code.or.Value","PAQ724af.Value.Description","PAQ724af.Count","PAQ724af.Cumulative","PAQ724af.Skip.to.Item"
"32","HORSEBACK RIDING",14,14,NA
".","Missing",9470,9484,NA
