"AUXU3KL.Code.or.Value","AUXU3KL.Value.Description","AUXU3KL.Count","AUXU3KL.Cumulative","AUXU3KL.Skip.to.Item"
"-10 to 120","Range of Values",3845,3845,NA
"666","No response",2,3847,NA
"888","Could not obtain",17,3864,NA
".","Missing",636,4500,NA
