"DMDHRAGE.Code.or.Value","DMDHRAGE.Value.Description","DMDHRAGE.Count","DMDHRAGE.Cumulative","DMDHRAGE.Skip.to.Item"
"18 to 79","Range of Values",9685,9685,NA
"80",">= 80 years of age",464,10149,NA
".","Missing",0,10149,NA
