"LBDSF2LC.Code.or.Value","LBDSF2LC.Value.Description","LBDSF2LC.Count","LBDSF2LC.Cumulative","LBDSF2LC.Skip.to.Item"
"0","At or above the detection limit",8006,8006,NA
"1","Below lower detection limit",41,8047,NA
".","Missing",1118,9165,NA
