"DR1IS160.Code.or.Value","DR1IS160.Value.Description","DR1IS160.Count","DR1IS160.Cumulative","DR1IS160.Skip.to.Item"
"0 to 46.092","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
