"CIQP32.Code.or.Value","CIQP32.Value.Description","CIQP32.Count","CIQP32.Cumulative","CIQP32.Skip.to.Item"
"0 to 100","Range of Values",66,66,NA
"900","900 +",0,66,NA
"7777","Refused",0,66,NA
"9999","Don't know",2,68,NA
".","Missing",860,928,NA
