"DMDCITZN.Code.or.Value","DMDCITZN.Value.Description","DMDCITZN.Count","DMDCITZN.Cumulative","DMDCITZN.Skip.to.Item"
"1","Citizen by birth or naturalization",8663,8663,NA
"2","Not a citizen of the US",1240,9903,NA
"7","Refused",30,9933,NA
"9","Don't know",29,9962,NA
".","Missing",3,9965,NA
