"RFXT076.Code.or.Value","RFXT076.Value.Description","RFXT076.Count","RFXT076.Cumulative","RFXT076.Skip.to.Item"
"654 to 663","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
