"AUXLR168.Code.or.Value","AUXLR168.Value.Description","AUXLR168.Count","AUXLR168.Cumulative","AUXLR168.Skip.to.Item"
"-13 to 55","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
