"AUXLR117.Code.or.Value","AUXLR117.Value.Description","AUXLR117.Count","AUXLR117.Cumulative","AUXLR117.Skip.to.Item"
"-46 to 45","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
