"DXXPT84X.Code.or.Value","DXXPT84X.Value.Description","DXXPT84X.Count","DXXPT84X.Cumulative","DXXPT84X.Skip.to.Item"
"579.2 to 1156.2","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
