"LBXVTHF.Code.or.Value","LBXVTHF.Value.Description","LBXVTHF.Count","LBXVTHF.Cumulative","LBXVTHF.Skip.to.Item"
"0.088 to 1.22","Range of Values",2920,2920,NA
".","Missing",346,3266,NA
