"DSQTVB1.Code.or.Value","DSQTVB1.Value.Description","DSQTVB1.Count","DSQTVB1.Cumulative","DSQTVB1.Skip.to.Item"
"0.001 to 251.5","Range of Values",1688,1688,NA
".","Missing",8283,9971,NA
