"LBXHSCRP.Code.or.Value","LBXHSCRP.Value.Description","LBXHSCRP.Count","LBXHSCRP.Cumulative","LBXHSCRP.Skip.to.Item"
"0.08 to 188.5","Range of Values",7867,7867,NA
".","Missing",1298,9165,NA
