"AUXLR228.Code.or.Value","AUXLR228.Value.Description","AUXLR228.Count","AUXLR228.Cumulative","AUXLR228.Skip.to.Item"
"-102 to 69","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
