"OHQ614.Code.or.Value","OHQ614.Value.Description","OHQ614.Count","OHQ614.Cumulative","OHQ614.Skip.to.Item"
"1","Yes",668,668,NA
"2","No",3004,3672,NA
"7","Refused",0,3672,NA
"9","Don't know",9,3681,NA
".","Missing",6089,9770,NA
