"DXXIMY.Code.or.Value","DXXIMY.Value.Description","DXXIMY.Count","DXXIMY.Cumulative","DXXIMY.Skip.to.Item"
"167.4 to 399.7","Range of Values",3294,3294,NA
".","Missing",414,3708,NA
