"RHQ740.Code.or.Value","RHQ740.Value.Description","RHQ740.Count","RHQ740.Cumulative","RHQ740.Skip.to.Item"
"1","Yes",252,252,NA
"2","No",1632,1884,NA
"7","Refused",0,1884,NA
"9","Don't know",1,1885,NA
".","Missing",1679,3564,NA
