"AIALANGA.Code.or.Value","AIALANGA.Value.Description","AIALANGA.Count","AIALANGA.Cumulative","AIALANGA.Skip.to.Item"
"1","English",5762,5762,NA
"2","Spanish",482,6244,NA
"3","Asian languages",73,6317,NA
".","Missing",3858,10175,NA
