"AUAEXSTS.Code.or.Value","AUAEXSTS.Value.Description","AUAEXSTS.Count","AUAEXSTS.Cumulative","AUAEXSTS.Skip.to.Item"
"1","Complete",1818,1818,NA
"2","Partial",96,1914,NA
"3","Not done",132,2046,NA
".","Missing",0,2046,NA
