"CIQD050.Code.or.Value","CIQD050.Value.Description","CIQD050.Count","CIQD050.Cumulative","CIQD050.Skip.to.Item"
"1","Yes",4,4,NA
"2","No",10,14,NA
"7","Refuse",0,14,NA
"9","Don't know",0,14,NA
".","Missing",764,778,NA
