"OSQ080.Code.or.Value","OSQ080.Value.Description","OSQ080.Count","OSQ080.Cumulative","OSQ080.Skip.to.Item"
"1","Yes",1307,1307,""
"2","No",4907,6214,"OSQ060"
"7","Refused",0,6214,"OSQ060"
"9","Don't know",4,6218,"OSQ060"
".","Missing",0,6218,""
