"DXXPT57Y.Code.or.Value","DXXPT57Y.Value.Description","DXXPT57Y.Count","DXXPT57Y.Cumulative","DXXPT57Y.Skip.to.Item"
"83.3 to 327.9","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
