"URXTRN.Code.or.Value","URXTRN.Value.Description","URXTRN.Count","URXTRN.Cumulative","URXTRN.Skip.to.Item"
"0.035 to 0.035","Range of Values",2427,2427,NA
".","Missing",185,2612,NA
