"VTQ280G.Code.or.Value","VTQ280G.Value.Description","VTQ280G.Count","VTQ280G.Cumulative","VTQ280G.Skip.to.Item"
"1","Yes",180,180,NA
"2","No",3058,3238,NA
"7","Refused",0,3238,NA
"9","Don't know",1,3239,NA
".","Missing",306,3545,NA
