"DXXPT33X.Code.or.Value","DXXPT33X.Value.Description","DXXPT33X.Count","DXXPT33X.Cumulative","DXXPT33X.Skip.to.Item"
"645.8 to 1227.6","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
