"AUXRR237.Code.or.Value","AUXRR237.Value.Description","AUXRR237.Count","AUXRR237.Cumulative","AUXRR237.Skip.to.Item"
"-22 to 93","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
