"LBXVXY.Code.or.Value","LBXVXY.Value.Description","LBXVXY.Count","LBXVXY.Cumulative","LBXVXY.Skip.to.Item"
"0.024 to 30.5","Range of Values",3085,3085,NA
".","Missing",309,3394,NA
