"RFXC029.Code.or.Value","RFXC029.Value.Description","RFXC029.Count","RFXC029.Cumulative","RFXC029.Skip.to.Item"
"-8.215 to 5.392","Range of Values",33708,33708,NA
".","Missing",13,33721,NA
