"HCQ200.Code.or.Value","HCQ200.Value.Description","HCQ200.Count","HCQ200.Cumulative","HCQ200.Skip.to.Item"
"1","True",4,4,NA
"2","False",51,55,NA
"7","Refused",0,55,NA
"9","Don't know",2,57,NA
".","Missing",55,112,NA
