"DSQTLYCO.Code.or.Value","DSQTLYCO.Value.Description","DSQTLYCO.Count","DSQTLYCO.Cumulative","DSQTLYCO.Skip.to.Item"
"10 to 50000","Range of Values",856,856,NA
".","Missing",9681,10537,NA
