"SPXNFEV7.Code.or.Value","SPXNFEV7.Value.Description","SPXNFEV7.Count","SPXNFEV7.Cumulative","SPXNFEV7.Skip.to.Item"
"371 to 6537","Range of Values",6652,6652,NA
".","Missing",843,7495,NA
