"AUXLR256.Code.or.Value","AUXLR256.Value.Description","AUXLR256.Count","AUXLR256.Cumulative","AUXLR256.Skip.to.Item"
"-23 to 55","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
