"BAQ070.Code.or.Value","BAQ070.Value.Description","BAQ070.Count","BAQ070.Cumulative","BAQ070.Skip.to.Item"
"1","Yes",418,418,""
"2","No",2880,3298,"BAQ100"
"7","Refused",0,3298,"BAQ100"
"9","Don't know",1,3299,"BAQ100"
".","Missing",0,3299,""
