"DS1TLZ.Code.or.Value","DS1TLZ.Value.Description","DS1TLZ.Count","DS1TLZ.Cumulative","DS1TLZ.Skip.to.Item"
"5 to 95475","Range of Values",376,376,NA
".","Missing",8962,9338,NA
