"DXXVFATM.Code.or.Value","DXXVFATM.Value.Description","DXXVFATM.Count","DXXVFATM.Cumulative","DXXVFATM.Skip.to.Item"
"0 to 1872.08","Range of Values",5427,5427,NA
".","Missing",606,6033,NA
