"WTSA2YR.Code.or.Value","WTSA2YR.Value.Description","WTSA2YR.Count","WTSA2YR.Cumulative","WTSA2YR.Skip.to.Item"
"0 to 455771.88304","Range of Values",2368,2368,NA
".","Missing",0,2368,NA
