"PAQ100.Code.or.Value","PAQ100.Value.Description","PAQ100.Count","PAQ100.Cumulative","PAQ100.Skip.to.Item"
"1","Yes",3493,3493,""
"2","No",2918,6411,"PAQ180"
"3","Unable to do activity",212,6623,"PAQ180"
"7","Refused",4,6627,"PAQ180"
"9","Don't know",3,6630,"PAQ180"
".","Missing",3464,10094,""
